REV_CNTR,FACILITY_TYPE,MULTIPLICITY,DESCRIPTION,VERSION
1,,No,Total charge,J
22,,Yes, SNF claim paid under PPS submitted as type of bill (TOB) 21X.,J
23,,Yes," Home Health services paid under PPS submitted as TOB 32X and 33X, effective 10/00. This code may appear multiple times",J
24,,No," Inpatient Rehabilitation Facility services paid under PPS submitted as TOB 11X, effective for cost reporting periods",J
100,,No, All-inclusive rate - room and board plus ancillary,J
101,,No, All-inclusive rate - room and board,J
110,,No, Private medical or general-general classification,J
111,,No, Private medical or general-medical/surgical/GYN,J
112,,No, Private medical or general-OB,J
113,,No, Private medical or general-pediatric,J
114,,No, Private medical or general-psychiatric,J
115,,No, Private medical or general-hospice,J
116,,No, Private medical or general-detoxification,J
117,,No, Private medical or general-oncology,J
118,,No, Private medical or general-rehabilitation,J
119,,No, Private medical or general-other,J
120,,No, Semi-private 2 bed (medical or general) general classification,K
121,,No, Semi-private 2 bed (medical or general) medical/surgical/GYN,
122,,No, Semi-private 2 bed (medical or general)-OB,
123,,No, Semi-private 2 bed (medical or general)-pediatric,
124,,No, Semi-private 2 bed (medical or general)-psychiatric,
125,,No, Semi-private 2 bed (medical or general)-hospice,
126,,No, Semi-private 2 bed (medical or general)-detoxification,
127,,No, Semi-private 2 bed (medical or general)-oncology,
128,,No, Semi-private 2 bed (medical or general)-rehabilitation,
129,,No, Semi-private 2 bed (medical or general)-other,
130,,No, Semi-private 3 and 4 beds-general classification,
131,,No, Semi-private 3 and 4 beds-medical/surgical/GYN,
132,,No, Semi-private 3 and 4 beds-OB,
133,,No, Semi-private 3 and 4 beds-pediatric,
134,,No, Semi-private 3 and 4 beds-psychiatric,
135,,No, Semi-private 3 and 4 beds-hospice,
136,,No, Semi-private 3 and 4 beds-detoxification,
137,,No, Semi-private 3 and 4 beds-oncology,
138,,No, Semi-private 3 and 4 beds-rehabilitation,
139,,No, Semi-private 3 and 4 beds-other,
140,,No, Private (deluxe)-general classification,
141,,No, Private (deluxe)-medical/surgical/GYN,
142,,No, Private (deluxe)-OB,
143,,No, Private (deluxe)-pediatric,
144,,No, Private (deluxe)-psychiatric,
145,,No, Private (deluxe)-hospice,
146,,No, Private (deluxe)-detoxification,
147,,No, Private (deluxe)-oncology,
148,,No, Private (deluxe)-rehabilitation,
149,,No, Private (deluxe)-other,
150,,No, Room & Board ward (medical or general)-general classification,
151,,No, Room & Board ward (medical or general)-medical/surgical/GYN,
152,,No, Room & Board ward (medical or general)-OB,
153,,No, Room & Board ward (medical or general)-pediatric,
154,,No, Room & Board ward (medical or general)-psychiatric,
155,,No, Room & Board ward (medical or general)-hospice,
156,,No, Room & Board ward (medical or general)-detoxification,
157,,No, Room & Board ward (medical or general)-oncology,
158,,No, Room & Board ward (medical or general)-rehabilitation,
159,,No, Room & Board ward (medical or general)-other,
160,,No, Other Room & Board-general classification,
164,,No, Other Room & Board-sterile environment,
167,,No, Other Room & Board-self care,
169,,No, Other Room & Board-other,
170,,No, Nursery-general classification,
171,,No, Nursery-newborn level I (routine),
172,,No, Nursery-premature newborn-level II (continuing care),
173,,No, Nursery-newborn-level III (intermediate care),
174,,No, Nursery-newborn-level IV (intensive care),
179,,No, Nursery-other,
180,,No, Leave of absence-general classification,
